Genus_species,ecology_Hutchinson_Melville,ecology_Collar,ecology_Tallowin,TipOrder,opt5,opt6,opt11,dietData,Rodda2020,opt5,water,rock,ground,structure_low,structure_high,tree,breadth,classification,poly,gen_spec
Amphibolurus_burnsi,semiarboreal,,semiarboreal,57,c,c,g,,,c,0,0,1,1,1,1,4,generalist,g+l+h+t,gen
Amphibolurus_centralis,semiarboreal,,semiarboreal,56,c,c,g,,,c,0,0,1,1,1,1,4,generalist,g+l+h+t,gen
Amphibolurus_muricatus,semiarboreal,,semiarboreal,59,c,c,g,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Amphibolurus_norrisi,semiarboreal,,semiarboreal,58,c,c,g,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Chelosania_brunnea,arboreal,,semiarboreal,10,b,b,h,yes,diurnal canopy walker,b,0,0,0,0,0,1,1,specialist,t,s2
Chlamydosaurus_kingii,arboreal,semiarboreal,arboreal,53,c,c,g,yes,ground-foraging tree lizard,c,0,0,1,0,1,1,3,generalist,g+h+t,gen
Cryptagama_aurita,terrestrial,,,19,a,a,a,,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_adelaidensis,terrestrial,,terrestrial,17,a,a,c,,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_badius,terrestrial,,,45,a,a,b,,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_butlerorum,terrestrial,,terrestrial,16,a,a,c,,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_caudicinctus,saxicolous,saxicolus,saxicolous,36,a,a,b,yes,,a,0,1,1,0,0,0,2,specialist,r+g,s3
Ctenophorus_chapmani,terrestrial,,terrestrial,18,a,a,c,,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_clayi,terrestrial,,terrestrial,14,a,a,c,yes,,a,0,0,1,1,0,0,2,specialist,g+l,s1
Ctenophorus_cristatus,terrestrial,,terrestrial,23,a,a,b,yes,,a,0,0,1,1,0,0,2,specialist,g+l,s1
Ctenophorus_decresii,saxicolous,saxicolus,saxicolous,28,a,a,b,,,a,0,1,1,0,0,0,2,specialist,r+g,s3
Ctenophorus_dualis,terrestrial,,terrestrial,44,a,a,b,,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_femoralis,terrestrial,terrestrial,terrestrial,50,a,a,b,,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_fionni,saxicolous,saxicolus,saxicolous,27,a,a,b,,,a,0,1,0,0,0,0,1,specialist,r,s3
Ctenophorus_fordi,terrestrial,,terrestrial,51,a,a,b,yes,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_gibba,terrestrial,terrestrial,terrestrial,22,a,a,b,,,a,0,0,1,1,0,0,2,specialist,g+l,s1
Ctenophorus_graafi,saxicolous,,,37,a,a,b,,,a,0,1,0,0,0,0,1,specialist,r,s3
Ctenophorus_griseus,terrestrial,,terrestrial,46,a,a,b,,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_infans,saxicolous,,,35,a,a,b,,,a,0,1,0,0,0,0,1,specialist,r,s3
Ctenophorus_isolepis_citrinus,terrestrial,terrestrial,,31,a,a,b,yes,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_isolepis_gularis,terrestrial,terrestrial,,32,a,a,b,,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_isolepis_isolepis,terrestrial,terrestrial,terrestrial,30,a,a,b,,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_maculatus,terrestrial,,terrestrial,47,a,a,b,,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_maculosus,terrestrial,terrestrial,terrestrial,13,a,a,c,,,a,0,0,1,1,0,0,2,specialist,g+l,s1
Ctenophorus_mckenziei,terrestrial,terrestrial,terrestrial,40,a,a,b,,,a,0,0,1,1,0,0,2,specialist,g+l,s1
Ctenophorus_mirrityana,saxicolous,,,25,a,a,b,,,a,0,1,0,0,0,0,1,specialist,r,s3
Ctenophorus_nguyarna,terrestrial,,terrestrial,42,a,a,b,,,a,0,0,1,1,0,0,2,specialist,g+l,s1
Ctenophorus_nuchalis,terrestrial,,terrestrial,21,a,a,c,yes,,a,0,0,1,1,1,0,3,generalist,g+l+h,gen
Ctenophorus_ornatus,saxicolous,saxicolus,saxicolous,34,a,a,b,,,a,0,1,0,0,0,0,1,specialist,r,s3
Ctenophorus_parviceps,terrestrial,,terrestrial,15,a,a,c,,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_pictus,terrestrial,,terrestrial,41,a,a,b,,,a,0,0,1,1,0,0,2,specialist,g+l,s1
Ctenophorus_reticulatus,terrestrial,terrestrial,terrestrial,20,a,a,c,yes,,a,0,0,1,1,1,0,3,generalist,g+l+h,gen
Ctenophorus_rubens,terrestrial,,terrestrial,29,a,a,b,,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_rufescens,saxicolous,saxicolus,saxicolous,24,a,a,b,,,a,0,1,0,0,0,0,1,specialist,r,s3
Ctenophorus_salinarum,terrestrial,terrestrial,terrestrial,43,a,a,b,,,a,0,0,1,1,0,0,2,specialist,g+l,s1
Ctenophorus_scutulatus,terrestrial,,terrestrial,39,a,a,b,yes,,a,0,0,1,1,0,0,2,specialist,g+l,s1
Ctenophorus_slateri,saxicolous,,,38,a,a,b,,,a,0,1,0,0,0,0,1,specialist,r,s3
Ctenophorus_spinodomus,terrestrial,,,49,a,a,b,,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_tjakalpa,terrestrial,,,52,a,a,b,,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_tuniluki,terrestrial,,,48,a,a,b,,,a,0,0,1,0,0,0,1,specialist,g,s1
Ctenophorus_vadnappa,saxicolous,saxicolus,saxicolous,26,a,a,b,,,a,0,1,0,0,0,0,1,specialist,r,s3
Ctenophorus_yinnietharra,terrestrial,,,33,a,a,b,,,a,0,1,1,1,0,0,3,generalist,r+g+l,gen
Diporiphora_adductus,semiarboreal,,,111,c,f,e,,,c,0,0,1,1,0,0,2,specialist,g+l,s2
Diporiphora_albilabris,terrestrial,,terrestrial,96,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_amphiboluroides,semiarboreal,,semiarboreal,99,c,f,e,yes,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_australis,terrestrial,semiarboreal,semiarboreal,102,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_bennettii,saxicolous,,terrestrial,97,c,f,e,,,c,0,1,1,1,0,0,3,generalist,r+g+l,gen
Diporiphora_bilineata,terrestrial,terrestrial,semiarboreal,113,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_carpentariensis,terrestrial,,,114,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_gracilis,terrestrial,,,119,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_granulifera,terrestrial,,,115,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_jugularis,terrestrial,,,103,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_lalliae,terrestrial,terrestrial,terrestrial,117,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_linga,semiarboreal,terrestrial,terrestrial,106,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_magna,terrestrial,terrestrial,terrestrial,116,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_margaretae,terrestrial,,,118,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_nobbi,terrestrial,,semiarboreal,101,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_pallida,terrestrial,,,108,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_paraconvergens,semiarboreal,,,105,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_perplexa,saxicolous,,,95,c,f,e,,,c,0,1,1,1,0,0,3,generalist,r+g+l,gen
Diporiphora_phaeospinosa,terrestrial,,terrestrial,100,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_pindan,terrestrial,terrestrial,terrestrial,109,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_reginae,terrestrial,terrestrial,terrestrial,104,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_sobria,terrestrial,,,98,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_superba,arboreal,,arboreal,94,c,f,i,,,c,0,0,0,1,1,0,2,specialist,l+h,s2
Diporiphora_valens,terrestrial,,terrestrial,110,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_vescus,semiarboreal,,,112,c,f,e,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Diporiphora_winneckei,semiarboreal,,terrestrial,107,c,f,e,yes,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Gowidon_longirostris,arboreal,,arboreal,60,c,c,g,yes,,c,0,0,1,1,1,1,4,generalist,g+l+h+t,gen
Hypsilurus_godeffroyi,arboreal,,,2,b,b,h,,,b,0,0,0,0,1,1,2,specialist,h+t,s2
Hypsilurus_magnus,arboreal,,riparian,5,b,b,h,,,b,0,0,0,0,1,1,2,specialist,h+t,s2
Hypsilurus_modestus,arboreal,arboreal,arboreal,3,b,b,h,,,b,0,0,0,0,1,1,2,specialist,h+t,s2
Hypsilurus_nigrigularis,arboreal,arboreal,,6,b,b,h,,,b,0,0,0,0,1,1,2,specialist,h+t,s2
Hypsilurus_papuensis,arboreal,arboreal,arboreal,4,b,b,h,,,b,0,0,0,0,1,1,2,specialist,h+t,s2
Intellagama_lesueurii,semiarboreal,semiarboreal,riparian,12,c,c,g,,,c,1,0,1,1,1,1,5,generalist,w+g+l+h+t,gen
Lophognathus_gilberti,semiarboreal,semiarboreal,arboreal,55,c,c,g,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Lophognathus_horneri,semiarboreal,,arboreal,54,c,c,g,,,c,0,0,1,1,1,0,3,generalist,g+l+h,gen
Lophosaurus_boydii,arboreal,arboreal,arboreal,8,b,b,i,,,b,0,0,0,0,1,1,2,specialist,h+t,s2
Lophosaurus_dilophus,arboreal,arboreal,arboreal,9,b,b,i,,,b,0,0,0,0,1,1,2,specialist,h+t,s2
Lophosaurus_spinipes,arboreal,arboreal,arboreal,7,b,b,i,,,b,0,0,0,0,1,1,2,specialist,h+t,s2
Moloch_horridus,terrestrial,terrestrial,terrestrial,11,d,d,j,yes,,d,0,0,1,0,0,0,1,specialist,g,s1
Physignathus_cocincinus,semiarboreal,semiarboreal,,1,b,b,h,yes,,b,1,0,1,1,1,1,5,generalist,w+g+l+h+t,gen
Pogona_barbata,semiarboreal,,semiarboreal,63,c,c,f,,,c,0,0,1,1,1,1,4,generalist,g+l+h+t,gen
Pogona_henrylawsoni,terrestrial,,terrestrial,68,c,c,f,,,c,0,0,1,1,0,0,2,specialist,g+l,s1
Pogona_microlepidota,semiarboreal,,,65,c,c,f,,,c,0,0,1,1,1,1,4,generalist,g+l+h+t,gen
Pogona_minor_minima,semiarboreal,terrestrial,semiarboreal,66,c,c,f,,,c,0,0,1,1,1,1,4,generalist,g+l+h+t,gen
Pogona_minor_minor,semiarboreal,,semiarboreal,69,c,c,f,,,c,0,0,1,1,1,1,4,generalist,g+l+h+t,gen
Pogona_minor_mitchelli,semiarboreal,,semiarboreal,70,c,c,f,,,c,0,0,1,1,1,1,4,generalist,g+l+h+t,gen
Pogona_nullarbor,terrestrial,,semiarboreal,64,c,c,f,,,c,0,0,1,1,0,0,2,specialist,g+l,s1
Pogona_vitticeps,semiarboreal,,semiarboreal,67,c,c,f,yes,,c,0,0,1,1,1,1,4,generalist,g+l+h+t,gen
Rankinia_diemensis,terrestrial,,terrestrial,62,c,c,f,,,c,0,0,1,0,0,0,1,specialist,g,s1
Tropicagama_temporalis,semiarboreal,,semiarboreal,61,c,c,g,,,c,0,0,1,1,1,1,4,generalist,g+l+h+t,gen
Tympanocryptis_argillosa,terrestrial,,,76,e,e,k,,,e,0,0,1,0,0,0,1,specialist,g,s1
Tympanocryptis_centralis,terrestrial,,terrestrial,87,e,e,k,,,e,0,0,1,0,0,0,1,specialist,g,s1
Tympanocryptis_cephalus,terrestrial,terrestrial,terrestrial,90,e,e,k,,,e,0,0,1,0,0,0,1,specialist,g,s1
Tympanocryptis_condaminensis,terrestrial,,terrestrial,84,e,e,k,,,e,0,0,1,0,0,0,1,specialist,g,s1
Tympanocryptis_darlingensis,terrestrial,,,83,e,e,k,,,e,0,0,1,0,0,0,1,specialist,g,s1
Tympanocryptis_diabolicus,terrestrial,,terrestrial,93,e,e,k,,,e,0,0,1,0,0,0,1,specialist,g,s1
Tympanocryptis_einasleighensis,terrestrial,,,71,e,e,k,,,e,0,0,1,0,0,0,1,specialist,g,s1
Tympanocryptis_fictilis,terrestrial,,,75,e,e,k,,,e,0,0,1,0,0,0,1,specialist,g,s1
Tympanocryptis_fortescuensis,terrestrial,,terrestrial,92,e,e,k,,,e,0,0,1,0,0,0,1,specialist,g,s1
Tympanocryptis_gigas,terrestrial,,,89,e,e,k,,,e,0,0,1,0,0,0,1,specialist,g,s1
Tympanocryptis_hobsoni,terrestrial,,,72,e,e,k,,,e,0,0,1,0,0,0,1,specialist,g,s1
Tympanocryptis_houstoni,terrestrial,,terrestrial,73,e,e,k,,,e,0,0,1,0,0,0,1,specialist,g,s1
