"Genus_species","Interlimb","Body_Width","Pelvic_Width","Pelvic_Height","Head_Width","Snout_Eye","Eye_Diameter","Head_Depth","Tail_Width","Tail_Length","Upper_Arm","Lower_Arm","Hand","Upper_Leg","Lower_Leg","Foot","Neck","Pos_Skull"
"Amphibolurus burnsi",56.37,26.17,9.15,19.21,30.67,6.92,6.45,21.66,17.29,304,17.26,19.17,17.85,26.93,29.72,40.36,22.51,16.37
"Amphibolurus burnsi",44.81,25.61,8.16,17.47,24.6,6.67,4.61,18.79,14.74,281,15.7,14.51,18.3,28.4,30.11,40.25,24.12,17.75
"Amphibolurus burnsi",54.29,25.71,10.36,19.76,29.26,7.51,5.83,20.13,16.13,295,17.04,17.04,18.53,35.14,31.24,41.3,20.2,15.9
"Amphibolurus centralis",50.92,21.53,7.38,15.93,19.21,6.1,5.44,16.73,11.6,285,16.8,15.36,18.74,24.69,27.79,34.86,22.96,12.39
"Amphibolurus centralis",44.9,17.71,8.16,15.47,20.3,8.1,5.41,16.05,11.66,301,16.42,15.26,17.27,22.94,25.48,34.83,22.4,11.91
"Amphibolurus centralis",40.94,18.94,7.41,12.76,19.21,5.92,4.23,14.81,11.31,248,15.7,14.61,16.05,24.15,24.62,33.58,20.19,13.22
"Amphibolurus muricatus",57.85,31.36,9.41,13.16,23.32,5.4,6.1,16.3,10.85,248,14.81,14.41,18.12,22.35,23.08,32.94,19.02,13.05
"Amphibolurus muricatus",56.73,31.05,9.72,13.84,21.98,5.65,5.52,15.66,11.19,194,14.37,14.28,15.72,22.37,22.02,32.09,18.42,13.27
"Amphibolurus muricatus",52.24,30.74,9.45,13.04,21.83,5.6,5.3,15.72,10.7,212,14.26,13.55,16.62,22.52,23.96,32.54,22.31,12.98
"Amphibolurus muricatus",51.18,28.03,10.37,12.85,20.42,5.16,5.17,14.63,9.91,222,13.33,13.31,16.39,21.17,22.2,32.28,18.3,11.79
"Amphibolurus norrisi",53.57,27.1,8.39,14.04,20.58,5.37,4.83,14.57,9.71,223,14.84,13.87,16.96,22.9,23.55,32.51,20.56,14.94
"Amphibolurus norrisi",38.57,19.32,8.14,10.66,16.82,4.97,4.34,11.77,9.43,175,13.12,11.56,14.31,18.43,20.52,27.1,15.18,11.73
