"Genus_species","Snout_Vent","Interlimb","Snout_Axilla","Body_Width","Pelvic_Width","Pelvic_Height","Head_Width","Snout_Eye","Eye_Diameter","Head_Depth","Head_Length","Tail_Width","Tail_Length","Upper_Arm","Lower_Arm","Hand","Upper_Leg","Lower_Leg","Foot","Neck","Pos_Skull"
"Amphibolurus_burnsi",110.306666666667,51.8233333333333,51.6133333333333,25.83,9.22333333333333,18.8133333333333,28.1766666666667,7.03333333333333,5.63,20.1933333333333,29.3366666666667,16.0533333333333,293.333333333333,16.6666666666667,16.9066666666667,18.2266666666667,30.1566666666667,30.3566666666667,40.6366666666667,22.2766666666667,16.6733333333333
"Amphibolurus_centralis",95.4766666666667,45.5866666666667,46.09,19.3933333333333,7.65,14.72,19.5733333333333,6.70666666666667,5.02666666666667,15.8633333333333,24.24,11.5233333333333,278,16.3066666666667,15.0766666666667,17.3533333333333,23.9266666666667,25.9633333333333,34.4233333333333,21.85,12.5066666666667
"Amphibolurus_muricatus",103.74,54.5,43.26,30.295,9.7375,13.2225,21.8875,5.4525,5.5225,15.5775,23.7475,10.6625,219,14.1925,13.8875,16.7125,22.1025,22.815,32.4625,19.5125,12.7725
"Amphibolurus_norrisi",89.91,44.5566666666667,40.33,23.43,8.61,12.8733333333333,19.0233333333333,5.26666666666667,4.64333333333333,13.5133333333333,23.08,10.0133333333333,197.333333333333,14.1166666666667,12.49,15.45,20.4966666666667,21.9733333333333,30.5066666666667,17.25,13.17
"Chelosania_brunnea",104.993333333333,55.5333333333333,45.405,19.535,5.95333333333333,14.29,20.745,6.08833333333333,4.73666666666667,20.725,25.205,9.255,167,15.8133333333333,15.4616666666667,16.7016666666667,18.79,17.3316666666667,24.0483333333333,20.2,14.38
"Chlamydosaurus_kingii",233.75,99.445,119.905,50.3075,16.1375,35.3125,41.9025,13.075,13.2875,38.96,50.955,24.0075,455,38.6025,40.3125,38.8825,57.35,56.15,67.24,68.95,24.5925
"Cryptagama_aurita",38.65,20.3233333333333,15.7133333333333,12.1133333333333,4.73333333333333,4.46,10.3733333333333,1.98,2.72333333333333,6.44,10.0066666666667,3.22,29.8333333333333,6.29333333333333,5.75,5.62666666666667,7.73,7.56666666666667,9.36333333333333,5.70666666666667,5.30333333333333
"Ctenophorus_adelaidensis",44.546,23.978,17.98,13.326,5.41,5.934,10.452,2.124,2.422,7.44,11.29,5.334,70.6,7.308,6.892,6.914,8.678,10.232,13.69,6.69,6.744
"Ctenophorus_badius",54.04,26.68,21.91,12.13,5.5,7.24,10.65,2.12,3.39,7.25,12.62,7.13,136,9.17,7.91,9.03,12.78,15.41,20.49,9.29,7.11
"Ctenophorus_butlerorum",43.7225,22.9825,18.305,11.14,5.2775,5.0975,9.57,1.6825,2.415,6.345,10.5825,5.855,61.5,7.46,6.2825,6.465,9.2025,10.2,14.1275,7.7225,6.485
