taxon,IBRA_subregions,corrected_subregions
Amphibolurus_burnsi,98,98
Amphibolurus_centralis,45,45
Amphibolurus_muricatus,143,143
Amphibolurus_norrisi,32,32
Chelosania_brunnea,33,33
Chlamydosaurus_kingii,113,113
Cryptagama_aurita,4,4
Ctenophorus_adelaidensis,10,10
Ctenophorus_badius,NA,3
Ctenophorus_butlerorum,2,2
Ctenophorus_caudicinctus,20,20
Ctenophorus_chapmani,25,25
Ctenophorus_clayi,53,53
Ctenophorus_cristatus,36,36
Ctenophorus_decresii,24,24
Ctenophorus_dualis,NA,5
Ctenophorus_femoralis,7,7
Ctenophorus_fionni,16,16
Ctenophorus_fordi,85,85
Ctenophorus_gibba,15,15
Ctenophorus_graafi,6,6
Ctenophorus_griseus,NA,7
Ctenophorus_infans,4,4
Ctenophorus_isolepis_citrinus,NA,11
Ctenophorus_isolepis_gularis,NA,30
Ctenophorus_isolepis_isolepis,102,66
Ctenophorus_maculatus,24,24
Ctenophorus_maculosus,13,13
Ctenophorus_mckenziei,7,7
Ctenophorus_mirrityana,4,4
Ctenophorus_nguyarna,2,2
Ctenophorus_nuchalis,183,183
Ctenophorus_ornatus,16,16
Ctenophorus_parviceps,4,4
Ctenophorus_pictus,140,140
Ctenophorus_reticulatus,66,66
Ctenophorus_rubens,6,6
Ctenophorus_rufescens,9,9
Ctenophorus_salinarum,20,20
Ctenophorus_scutulatus,25,25
Ctenophorus_slateri,79,79
Ctenophorus_spinodomus,NA,15
Ctenophorus_tjakalpa,NA,4
Ctenophorus_tjantjalka,10,10
Ctenophorus_tuniluki,NA,11
Ctenophorus_vadnappa,6,6
Ctenophorus_yinnietharra,1,1
Diporiphora_adductus,6,6
Diporiphora_albilabris,28,28
Diporiphora_ameliae,5,5
Diporiphora_amphiboluroides,23,23
Diporiphora_australis,124,124
Diporiphora_bennettii,22,22
Diporiphora_bilineata,127,127
Diporiphora_carpentariensis,14,14
Diporiphora_convergens,1,1
Diporiphora_gracilis,2,2
Diporiphora_granulifera,6,6
Diporiphora_jugularis,14,14
Diporiphora_lalliae,76,76
Diporiphora_linga,9,9
Diporiphora_magna,48,48
Diporiphora_margaretae,3,3
Diporiphora_nobbi,233,233
Diporiphora_pallida,1,1
Diporiphora_paraconvergens,21,21
Diporiphora_perplexa,8,8
Diporiphora_phaeospinosa,10,10
Diporiphora_pindan,16,16
Diporiphora_reginae,21,21
Diporiphora_sobria,40,40
Diporiphora_superba,6,6
Diporiphora_valens,10,10
Diporiphora_vescus,2,2
Diporiphora_winneckei,43,43
Gowidon_longirostris,74,74
Hypsilurus_auritus,0,NA
Hypsilurus_binotatus,0,NA
Hypsilurus_bruijnii,0,NA
Hypsilurus_capreolatus,0,NA
Hypsilurus_geelvinkianus,0,NA
Hypsilurus_godeffroyi,0,NA
Hypsilurus_hikidanus,0,NA
Hypsilurus_longi,1,NA
Hypsilurus_macrolepis,0,NA
Hypsilurus_magnus,0,NA
Hypsilurus_modestus,0,NA
Hypsilurus_nigrigularis,0,NA
Hypsilurus_ornatus,0,NA
Hypsilurus_papuensis,0,NA
Hypsilurus_schoedei,0,NA
Hypsilurus_schultzewestrumi,0,NA
Intellagama_lesueurii,170,170
Lophognathus_gilberti,24,24
Lophognathus_horneri,22,22
Lophosaurus_boydii,14,14
Lophosaurus_dilophus,0,NA
Lophosaurus_spinipes,38,38
Moloch_horridus,103,103
Physignathus_cocincinus,0,NA
Pogona_barbata,221,221
Pogona_henrylawsoni,15,15
Pogona_microlepidota,2,2
Pogona_minor_minor,95,65
Pogona_minor_minima,NA,40
Pogona_minor_mitchelli,7,7
Pogona_nullarbor,8,8
Pogona_vitticeps,157,157
Rankinia_diemensis,79,79
Tropicagama_temporalis,37,37
Tympanocryptis_argillosa,NA,8
Tympanocryptis_centralis,42,42
Tympanocryptis_cephalus,3,3
Tympanocryptis_condaminensis,3,3
Tympanocryptis_darlingensis,NA,58
Tympanocryptis_diabolicus,5,5
Tympanocryptis_einasleighensis,NA,4
Tympanocryptis_fictilis,NA,6
Tympanocryptis_fortescuensis,6,6
Tympanocryptis_gigas,4,4
Tympanocryptis_hobsoni,NA,5
Tympanocryptis_houstoni,13,13
Tympanocryptis_intima,68,68
Tympanocryptis_lineata,75,1
Tympanocryptis_macra,NA,7
Tympanocryptis_mccartneyi,1,1
Tympanocryptis_osbornei,1,1
Tympanocryptis_pentalineata,2,2
Tympanocryptis_petersi,NA,20
Tympanocryptis_pinguicolla,10,10
Tympanocryptis_pseudopsephos,27,27
Tympanocryptis_rustica,NA,2
Tympanocryptis_tetraporophora,172,172
Tympanocryptis_tolleyi,NA,12
Tympanocryptis_uniformis,31,1
Tympanocryptis_wilsoni,1,1
