taxon,water,rock,ground,structure_low,structure_high,tree,breadth,classification
Intellagama_lesueurii,1,0,1,1,1,1,5,generalist
Physignathus_cocincinus,1,0,1,1,1,1,5,generalist
Amphibolurus_burnsi,0,0,1,1,1,1,4,generalist
Amphibolurus_centralis,0,0,1,1,1,1,4,generalist
Gowidon_longirostris,0,0,1,1,1,1,4,generalist
Pogona_barbata,0,0,1,1,1,1,4,generalist
Pogona_microlepidota,0,0,1,1,1,1,4,generalist
Pogona_minor_minima,0,0,1,1,1,1,4,generalist
Pogona_minor_minor,0,0,1,1,1,1,4,generalist
Pogona_minor_mitchelli,0,0,1,1,1,1,4,generalist
Pogona_vitticeps,0,0,1,1,1,1,4,generalist
Tropicagama_temporalis,0,0,1,1,1,1,4,generalist
Amphibolurus_muricatus,0,0,1,1,1,0,3,generalist
Amphibolurus_norrisi,0,0,1,1,1,0,3,generalist
Chlamydosaurus_kingii,0,0,1,0,1,1,3,generalist
Ctenophorus_nuchalis,0,0,1,1,1,0,3,generalist
Ctenophorus_reticulatus,0,0,1,1,1,0,3,generalist
Ctenophorus_yinnietharra,0,1,1,1,0,0,3,generalist
Diporiphora_albilabris,0,0,1,1,1,0,3,generalist
Diporiphora_amphiboluroides,0,0,1,1,1,0,3,generalist
Diporiphora_australis,0,0,1,1,1,0,3,generalist
Diporiphora_bennettii,0,1,1,1,0,0,3,generalist
Diporiphora_bilineata,0,0,1,1,1,0,3,generalist
Diporiphora_carpentariensis,0,0,1,1,1,0,3,generalist
Diporiphora_gracilis,0,0,1,1,1,0,3,generalist
Diporiphora_granulifera,0,0,1,1,1,0,3,generalist
Diporiphora_jugularis,0,0,1,1,1,0,3,generalist
Diporiphora_lalliae,0,0,1,1,1,0,3,generalist
Diporiphora_linga,0,0,1,1,1,0,3,generalist
Diporiphora_magna,0,0,1,1,1,0,3,generalist
Diporiphora_margaretae,0,0,1,1,1,0,3,generalist
Diporiphora_nobbi,0,0,1,1,1,0,3,generalist
Diporiphora_pallida,0,0,1,1,1,0,3,generalist
Diporiphora_paraconvergens,0,0,1,1,1,0,3,generalist
Diporiphora_perplexa,0,1,1,1,0,0,3,generalist
Diporiphora_phaeospinosa,0,0,1,1,1,0,3,generalist
Diporiphora_pindan,0,0,1,1,1,0,3,generalist
Diporiphora_reginae,0,0,1,1,1,0,3,generalist
Diporiphora_sobria,0,0,1,1,1,0,3,generalist
Diporiphora_valens,0,0,1,1,1,0,3,generalist
Diporiphora_vescus,0,0,1,1,1,0,3,generalist
Diporiphora_winneckei,0,0,1,1,1,0,3,generalist
Lophognathus_gilberti,0,0,1,1,1,0,3,generalist
Lophognathus_horneri,0,0,1,1,1,0,3,generalist
Ctenophorus_caudicinctus,0,1,1,0,0,0,2,specialist
Ctenophorus_clayi,0,0,1,1,0,0,2,specialist
Ctenophorus_cristatus,0,0,1,1,0,0,2,specialist
Ctenophorus_decresii,0,1,1,0,0,0,2,specialist
Ctenophorus_gibba,0,0,1,1,0,0,2,specialist
Ctenophorus_maculosus,0,0,1,1,0,0,2,specialist
Ctenophorus_mckenziei,0,0,1,1,0,0,2,specialist
Ctenophorus_nguyarna,0,0,1,1,0,0,2,specialist
Ctenophorus_pictus,0,0,1,1,0,0,2,specialist
Ctenophorus_salinarum,0,0,1,1,0,0,2,specialist
Ctenophorus_scutulatus,0,0,1,1,0,0,2,specialist
Ctenophorus_tjantjalka,0,1,1,0,0,0,2,specialist
Diporiphora_adductus,0,0,1,1,0,0,2,specialist
Diporiphora_ameliae,0,0,1,1,0,0,2,specialist
Diporiphora_convergens,0,0,1,1,0,0,2,specialist
Diporiphora_superba,0,0,0,1,1,0,2,specialist
Hypsilurus_godeffroyi,0,0,0,0,1,1,2,specialist
Hypsilurus_magnus,0,0,0,0,1,1,2,specialist
Hypsilurus_modestus,0,0,0,0,1,1,2,specialist
Hypsilurus_nigrigularis,0,0,0,0,1,1,2,specialist
Hypsilurus_papuensis,0,0,0,0,1,1,2,specialist
Lophosaurus_boydii,0,0,0,0,1,1,2,specialist
Lophosaurus_dilophus,0,0,0,0,1,1,2,specialist
Lophosaurus_spinipes,0,0,0,0,1,1,2,specialist
Pogona_henrylawsoni,0,0,1,1,0,0,2,specialist
Pogona_nullarbor,0,0,1,1,0,0,2,specialist
Chelosania_brunnea,0,0,0,0,0,1,1,specialist
Cryptagama_aurita,0,0,1,0,0,0,1,specialist
Ctenophorus_adelaidensis,0,0,1,0,0,0,1,specialist
Ctenophorus_badius,0,0,1,0,0,0,1,specialist
Ctenophorus_butlerorum,0,0,1,0,0,0,1,specialist
Ctenophorus_chapmani,0,0,1,0,0,0,1,specialist
Ctenophorus_dualis,0,0,1,0,0,0,1,specialist
Ctenophorus_femoralis,0,0,1,0,0,0,1,specialist
Ctenophorus_fionni,0,1,0,0,0,0,1,specialist
Ctenophorus_fordi,0,0,1,0,0,0,1,specialist
Ctenophorus_graafi,0,1,0,0,0,0,1,specialist
Ctenophorus_griseus,0,0,1,0,0,0,1,specialist
Ctenophorus_infans,0,1,0,0,0,0,1,specialist
Ctenophorus_isolepis_citrinus,0,0,1,0,0,0,1,specialist
Ctenophorus_isolepis_gularis,0,0,1,0,0,0,1,specialist
Ctenophorus_isolepis_isolepis,0,0,1,0,0,0,1,specialist
Ctenophorus_maculatus,0,0,1,0,0,0,1,specialist
Ctenophorus_mirrityana,0,1,0,0,0,0,1,specialist
Ctenophorus_ornatus,0,1,0,0,0,0,1,specialist
Ctenophorus_parviceps,0,0,1,0,0,0,1,specialist
Ctenophorus_rubens,0,0,1,0,0,0,1,specialist
Ctenophorus_rufescens,0,1,0,0,0,0,1,specialist
Ctenophorus_slateri,0,1,0,0,0,0,1,specialist
Ctenophorus_spinodomus,0,0,1,0,0,0,1,specialist
Ctenophorus_tjakalpa,0,0,1,0,0,0,1,specialist
Ctenophorus_tuniluki,0,0,1,0,0,0,1,specialist
Ctenophorus_vadnappa,0,1,0,0,0,0,1,specialist
Moloch_horridus,0,0,1,0,0,0,1,specialist
Rankinia_diemensis,0,0,1,0,0,0,1,specialist
Tympanocryptis_argillosa,0,0,1,0,0,0,1,specialist
Tympanocryptis_centralis,0,0,1,0,0,0,1,specialist
Tympanocryptis_cephalus,0,0,1,0,0,0,1,specialist
Tympanocryptis_condaminensis,0,0,1,0,0,0,1,specialist
Tympanocryptis_darlingensis,0,0,1,0,0,0,1,specialist
Tympanocryptis_diabolicus,0,0,1,0,0,0,1,specialist
Tympanocryptis_einasleighensis,0,0,1,0,0,0,1,specialist
Tympanocryptis_fictilis,0,0,1,0,0,0,1,specialist
Tympanocryptis_fortescuensis,0,0,1,0,0,0,1,specialist
Tympanocryptis_gigas,0,0,1,0,0,0,1,specialist
Tympanocryptis_hobsoni,0,0,1,0,0,0,1,specialist
Tympanocryptis_houstoni,0,0,1,0,0,0,1,specialist
Tympanocryptis_intima,0,0,1,0,0,0,1,specialist
Tympanocryptis_lineata,0,0,1,0,0,0,1,specialist
Tympanocryptis_macra,0,0,1,0,0,0,1,specialist
Tympanocryptis_mccartneyi,0,0,1,0,0,0,1,specialist
Tympanocryptis_osbornei,0,0,1,0,0,0,1,specialist
Tympanocryptis_pentalineata,0,0,1,0,0,0,1,specialist
Tympanocryptis_petersi,0,0,1,0,0,0,1,specialist
Tympanocryptis_pinguicolla,0,0,1,0,0,0,1,specialist
Tympanocryptis_pseudopsephos,0,0,1,0,0,0,1,specialist
Tympanocryptis_rustica,0,0,1,0,0,0,1,specialist
Tympanocryptis_tetraporophora,0,0,1,0,0,0,1,specialist
Tympanocryptis_tolleyi,0,0,1,0,0,0,1,specialist
Tympanocryptis_uniformis,0,0,1,0,0,0,1,specialist
Tympanocryptis_wilsoni,0,0,1,0,0,0,1,specialist
