,k5,k12,Interlimb,BodyWidth,PelvicWidth,PelvicHeight,HeadWidth,SnoutEye,EyeDiameter,HeadDepth,TailWidth,TailLength,UpperArm,LowerArm,Hand,UpperLeg,LowerLeg,Foot,Neck,PosSkull,Size,Genus,Genus_species
Amphibolurus_burnsi,1,1,0.846675479,0.150371588,-0.879428514,-0.166599181,0.237329193,-1.150504267,-1.373055577,-0.095812502,-0.325248507,2.5801446,-0.287754302,-0.273456998,-0.198279296,0.305240996,0.311851134,0.60350576,0.002374774,-0.287354382,3.101165019,Amphibolurus_burnsi,Amphibolurus_burnsi
Amphibolurus_centralis,1,1,0.887622317,0.032936405,-0.897287312,-0.242785846,0.042175136,-1.028890903,-1.317235886,-0.167982593,-0.487618994,2.695628154,-0.140418937,-0.218844665,-0.078208349,0.243000638,0.324692327,0.60674167,0.152207962,-0.405731124,2.931992959,Amphibolurus_centralis,Amphibolurus_centralis
Ctenophorus_cristatus,5,1,0.941015289,0.120439308,-0.584219595,-0.306478861,0.033054082,-1.527974876,-1.274672566,-0.294965019,-0.353907554,2.442938146,-0.188847214,-0.26152373,-0.170247608,0.400452311,0.501343291,0.773049207,0.158381284,-0.407835896,2.992964884,Ctenophorus_cristatus,Ctenophorus_cristatus
Ctenophorus_scutulatus,5,1,1.069242231,0.192917456,-0.61570837,-0.252721,0.041733568,-1.558355646,-1.351660835,-0.297254639,-0.280110877,2.606926857,-0.211499544,-0.274572557,-0.216856418,0.286357371,0.409073565,0.678618851,0.117017094,-0.343147105,2.978447386,Ctenophorus_scutulatus,Ctenophorus_scutulatus
Gowidon_longirostris,1,1,0.962299117,-0.023947347,-0.780480189,-0.333934184,-0.022891241,-1.080908504,-1.29262012,-0.275356125,-0.584554248,2.76309851,-0.243596812,-0.27298123,-0.14541899,0.31615999,0.391985392,0.745649534,0.02023447,-0.142738023,2.964563238,Gowidon_longirostris,Gowidon_longirostris
Lophognathus_gilberti,1,1,0.897556694,0.03954437,-0.812017678,-0.353162924,0.043100456,-1.110072199,-1.161513485,-0.200363532,-0.538875583,2.716897126,-0.196785037,-0.241185526,-0.095153971,0.269050301,0.383958017,0.707971106,0.003116251,-0.352064385,2.784361084,Lophognathus_gilberti,Lophognathus_gilberti
Lophognathus_horneri,1,1,0.929567481,0.082598406,-0.782015585,-0.271762446,0.021254426,-1.202288014,-1.34234703,-0.259654257,-0.371706177,2.654787295,-0.26243547,-0.2501333,-0.126103577,0.309722628,0.383019504,0.696236924,0.098146423,-0.306887233,3.044819808,Lophognathus_horneri,Lophognathus_horneri
Tropicagama_temporalis,1,1,0.872715287,-0.028279145,-0.960652345,-0.243645819,0.082767819,-1.04932712,-1.22526128,-0.086996219,-0.538426113,2.727709555,-0.221989134,-0.316278082,-0.088004647,0.313995254,0.333852709,0.748382697,0.136464057,-0.457027473,2.941308927,Tropicagama_temporalis,Tropicagama_temporalis
Amphibolurus_muricatus,2,2,1.07703712,0.4898191,-0.645179171,-0.339243658,0.164752116,-1.225089363,-1.212332926,-0.175336017,-0.554430669,2.467908148,-0.268449926,-0.290174427,-0.10500664,0.174527142,0.206254632,0.558921995,0.049891704,-0.37386916,2.921163582,Amphibolurus_muricatus,Amphibolurus_muricatus
Amphibolurus_norrisi,1,2,0.971343412,0.328598877,-0.672494057,-0.270260387,0.120247921,-1.164020724,-1.289985876,-0.221741523,-0.521500837,2.459475971,-0.178062243,-0.300490051,-0.087809372,0.194843896,0.264411222,0.592526864,0.022393768,-0.24747686,2.825418375,Amphibolurus_norrisi,Amphibolurus_norrisi
