lineage,AHE,gene,uce,total_loci,filename,Targets,Source,Order,HigherOrder,Family,Subfamily,Genus,Species,RegNo
outgroup_Gallus_gallus_SAMN15960293,368,38,653,1059,Aves_Gallus_gallus_SAMN15960293.fasta,SqCL,NCBI,Aves,,outgroup,NA,Gallus,gallus,SAMN15960293
Sphenodontidae_Sphenodon_punctatus_SAMN08038466,385,39,4992,5416,Sphenodontidae_Sphenodon_punctatus_SAMN08038466.fasta,SqCL,NCBI,Rhynchocephalia,,Sphenodontidae,NA,Sphenodon,punctatus,SAMN08038466
Sphenodontidae_Sphenodon_punctatus_SAMN08038466,385,39,4992,5416,Sphenodontidae_Sphenodon_punctatus_SAMN08038466.fasta,SqCL,NCBI,Rhynchocephalia,,Sphenodontidae,NA,Sphenodon,punctatus,SAMN08038466
Varanidae_Varanus_komodoensis_SAMN10967258,388,41,4997,5426,Varanidae_Varanus_komodoensis_SAMN10967258.fasta,SqCL,NCBI,Squamata,Anguimorpha,Varanidae,NA,Varanus,komodoensis,SAMN10967258
Dibamidae_Dibamus_novaeguineae_ABTC062295,338,0,2,340,Dibamidae_Dibamus_novaeguineae_ABTC062295.fasta,AHE,Burbrink et al. 2021 (AHE_T212),Squamata,Dibamia,Dibamidae,NA,Dibamus,novaeguineae,ABTC062295
Gekkonidae_Heteronotia_binoei_CCM8104,388,40,4984,5412,Gekkonidae_Heteronotia_binoei_CCM8104.fasta,SqCL,NCBI,Squamata,Gekkota,Gekkonidae,NA,Heteronotia,binoei,CCM8104
Agamidae_Acanthocercus_guentherpetersi_TJC1385,360,35,4791,5186,Agamidae_Acanthocercus_guentherpetersi_TJC1385.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Agaminae,Acanthocercus,guentherpetersi,TJC1385
Agamidae_Agama_lanzai_CAS227496,351,33,4823,5207,Agamidae_Agama_lanzai_CAS227496.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Agaminae,Agama,lanzai,CAS227496
Agamidae_Laudakia_agrorensis_CAS232150,362,34,4755,5151,Agamidae_Laudakia_agrorensis_CAS232150.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Agaminae,Laudakia,agrorensis,CAS232150
Agamidae_Laudakia_melanura_MVZHerp248402,360,34,4785,5179,Agamidae_Laudakia_melanura_MVZHerp248402.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Agaminae,Laudakia,melanura,MVZHerp248402
Agamidae_Phrynocephalus_luteoguttatus_CAS232112,366,34,4804,5204,Agamidae_Phrynocephalus_luteoguttatus_CAS232112.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Agaminae,Phrynocephalus,luteoguttatus,CAS232112
Agamidae_Phrynocephalus_putjatai_SAMN38108945,385,40,4891,5316,Agamidae_Phrynocephalus_putjatai_SAMN38108945.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Agaminae,Phrynocephalus,putjatai,SAMN38108945
