trait,fabric,VarRates,fabric_noV,fabric_noB,BM,best_model,variance,disparity,func_div,func_even,BM_rate_constant,delta_fabric_BM
Size,4.347283,-10.494915,-8.786684,-10.34354,-12.122685,fabric_full,1.867787302,0.364816604,0.650899899,0.557467428,0.003663889,16.469968
TailLength,21.370924,11.696559,11.032386,10.254991,14.217085,fabric_full,1.629275959,0.16522163,0.65711444,0.48530089,0.002342783,7.153839
PelvicWidth,84.614148,74.176181,74.079081,74.424556,64.935645,fabric_full,1.194744381,0.073647245,0.583802791,0.439234397,0.000971161,19.678503
BodyWidth,34.199465,26.170266,23.228444,26.830448,30.121974,fabric_full,1.094975121,0.119126316,0.671712172,0.559040481,0.001769901,4.077491
SnoutEye,60.264876,53.712485,51.692876,54.614514,58.842235,fabric_full,1.011712767,0.078838901,0.638574153,0.525054903,0.001072594,1.422641
Foot,87.58722,84.08598,78.497124,83.889819,83.889796,fabric_full,0.999530057,0.05377202,0.641863214,0.496705478,0.00070048,3.697424
PosSkull,96.608958,93.103308,85.893212,91.570442,90.838932,fabric_full,0.945055332,0.036039749,0.607259812,0.416705674,0.00062031,5.770026
TailWidth,53.013935,50.109275,43.404429,50.734746,52.928382,fabric_full,0.885733651,0.067204316,0.616199103,0.565655847,0.001186282,0.085553
HeadWidth,91.75816,88.380462,79.674046,89.042254,89.511109,fabric_full,0.758755552,0.035089238,0.671940113,0.481999165,0.000638922,2.247051
HeadDepth,87.440963,85.727778,76.768466,86.105316,88.041946,BM,0.701219739,0.027867842,0.619871236,0.51077707,0.000650797,-0.600983
Neck,73.415897,70.071116,63.424944,67.147442,71.544518,fabric_full,0.696837788,0.023852847,0.605456689,0.480651405,0.000870455,1.871379
PelvicHeight,105.39237,104.557686,96.044915,102.053993,108.332934,BM,0.640490799,0.021356347,0.58404344,0.455413306,0.000459554,-2.940564
EyeDiameter,99.429377,97.798724,90.032312,98.48655,102.251409,BM,0.61320402,0.022181896,0.649510059,0.5091384,0.000509996,-2.822032
UpperArm,125.932379,123.227137,115.607148,123.15233,126.817283,BM,0.555334651,0.015857265,0.603501989,0.462531953,0.000333825,-0.884904
LowerLeg,128.305167,127.302737,118.832284,125.792801,130.544986,BM,0.533880746,0.02475602,0.618254888,0.532370004,0.000313841,-2.239819
Hand,130.519791,129.971657,120.419049,130.717131,130.871658,BM,0.504014991,0.009563088,0.608606419,0.447438443,0.000309855,-0.351867
LowerArm,150.707693,150.032089,141.357799,148.949421,152.24296,BM,0.436665993,0.012322073,0.620881425,0.519523772,0.000214578,-1.535267
UpperLeg,128.500791,128.394441,119.263162,128.652006,132.687009,BM,0.42650692,0.01685908,0.649742474,0.606000614,0.000297742,-4.186218
Interlimb,120.023773,116.037004,110.894019,119.123218,123.540816,BM,0.394515284,0.014522936,0.609982937,0.571818721,0.000352276,-3.517043
